Genes,Chromosome,Start,End,Nclone,Array.129,Array.34,Array.67,Array.24,Array.22,Array.36,Array.49,Array.16,Array.146,Array.143,Array.65,Array.62,Array.4,Array.76,Array.118,Array.154,Array.48,Array.6,Array.39,Array.86,Array.112,Array.79,Array.124,Array.19,Array.27,Array.106,Array.110,Array.69,Array.73,Array.95,Array.98,Array.17,Array.33,Array.138,Array.149,Array.101,Array.90,Array.99,Array.57,Array.105,Array.85,Array.114,Array.56,Array.5,Array.8,Array.113,Array.148,Array.42,Array.25,Array.102,Array.55,Array.141,Array.43,Array.159,Array.52,Array.88,Array.125,Array.152,Array.50,Array.23,Array.68,Array.94,Array.153,Array.51,Array.142,Array.144,Array.37,Array.78,Array.18,Array.82,Array.75,Array.139,Array.2,Array.117,Array.60,Array.38,Array.72,Array.104,Array.137,Array.145,Array.31,Array.135,Array.111,Array.7,Array.21,Array.53,Array.59,Array.71,Array.47,Array.107,Array.64,Array.89,Array.30,Array.35,Array.93,Array.10,Array.123,Array.100,Array.134,Array.130
DIRAS3,1,67574404,69349603,118,0,0,-1,-1,0,0,-1,-1,0,1,0,1,0,0,1,1,0,0,-1,0,-1,0,1,0,0,0,0,-1,0,0,0,0,-1,1,-1,0,-1,-1,2,0,0,-1,-1,0,0,-1,0,-1,0,-1,-1,0,0,0,-1,0,0,1,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,1,1,0,0,1,0,-1,0,0,0,-1,0,0,0,1,-1,0,0,-1,1
PTPN22,1,113508337,114220736,71,0,0,0,-1,0,0,-1,-1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,-1,0,-1,0,1,0,0,0,-1,-1,1,-1,0,-1,-1,-1,-1,0,0,-1,-1,0,-1,0,-1,0,0,1,0,0,0,-1,0,0,0,1,0,-1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,1,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0
AGT,1,225926558,231061656,435,0,0,0,0,1,0,1,1,0,1,1,2,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,1,-1,0,1,0,2,0,1,0,1,1,-1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,-1,1,0,1,1,1,1,0,1,1,1,0,1,1
CLSPN,1,35903416,37578554,144,0,0,0,1,0,0,-1,-1,0,0,0,1,0,0,1,1,0,0,-1,0,-1,0,1,-1,0,-1,0,-1,0,0,0,-1,-1,-1,-1,0,-1,0,2,0,0,-1,-1,0,0,-1,1,-1,0,0,1,0,0,1,0,0,0,0,0,0,-1,0,-1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,-1,0,0,0,-1,0,0,0,1,-1,0,0,-1,1
BARD1/CASP8/CTLA4,2,198658046,216382286,1522,0,0,0,-1,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0
SF3B1,2,196090504,198648767,257,1,0,0,-1,0,0,0,0,0,0,-1,1,-1,0,0,1,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0
PIK3CA,3,177004388,181135381,268,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0
NFKB1,4,102672728,104401802,147,0,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,-1,0,0,-1,0,0,1,0,-1,0,-1,0,0,0,1,-1,0,-1,0,0,1,-1,0,0,-1,1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,-1,-1,-1,0,1,0,0,-1,-1,0,0,0
FGF2,4,120650347,124374816,281,0,0,-1,-1,-1,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,1,-1,-1,0,0,0,-1,0,0,-1,0,0,1,0,-1,0,-1,0,0,0,1,-1,0,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0
RAD50,5,131845023,140196482,920,0,-1,-1,0,0,0,0,-1,0,-1,1,0,-1,-1,0,0,0,0,0,0,-1,1,0,-1,0,-1,0,-1,0,1,1,-1,0,0,-1,1,0,0,0,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,1,0,0,-1,0,0,-1,0,1,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1
MAP3K1,5,55148225,57204282,139,-1,0,0,-1,0,0,-1,-1,0,-1,1,0,-1,0,0,1,0,0,0,0,-1,1,0,-1,-1,1,0,-1,0,1,1,-1,0,-1,-1,1,0,0,0,0,-1,0,0,-1,0,0,-1,0,-1,0,-1,0,-1,0,0,-1,0,-1,-1,-1,0,0,-1,0,1,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,-1
TERT,5,1007442,2438174,145,1,0,0,0,-1,0,0,1,0,0,1,1,-1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,-1,1,1,0,0,0,0,0,0,0,-1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
PIK3R1,5,66011537,68773114,198,-1,0,0,-1,0,0,-1,-1,0,-1,1,0,-1,-1,0,1,0,0,0,0,-1,1,0,-1,0,1,0,-1,0,1,1,-1,0,-1,-1,1,0,0,0,0,-1,0,0,-1,0,0,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,-1,-1,0,0,-1,0,1,0,0,-1,-1,0,-1,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1
CCND3,6,40747924,42826227,225,0,0,0,0,1,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,1,0,-1,0,0,1,0,-1,0,0,1,0,0,1,-1,0,0,0,1,0,0,0,0,1,0,-1,0,0,0,1,-1,0,-1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,1,0,1,-1,0,2,0,1,0,0,0,0,1,0,0,0,1,0
